alpha,beta,gamma,game,difficulty,session,id,timestep
-0.7259161075522297,0.3458896801117684,-0.03899896008810117,SORTER,3,1,QAC39D,50
-0.7267028464367994,-0.3969232787516947,-0.05613536620670788,SORTER,3,1,QAC39D,51
0.29679227588638635,0.30817889579185653,0.039534778141217385,SORTER,3,1,QAC39D,52
3.176560746260766,4.0394197158995935,0.1978111603806759,SORTER,3,1,QAC39D,53
-0.1661112532695395,-0.0595877590447634,0.04521641146547519,SORTER,3,1,QAC39D,54
3.4586946545357575,1.0536683026003406,0.012365383484251369,SORTER,3,1,QAC39D,55
1.7919587612418926,0.9816860035886282,0.08507884478212858,SORTER,3,1,QAC39D,56
0.20174980463314068,0.6137347230917071,0.00019863539085885224,SORTER,3,1,QAC39D,57
-0.17442702922787934,0.5867641026773796,-0.021988816938465203,SORTER,3,1,QAC39D,58
1.1654239880331492,1.3621574080433458,0.029183261957627427,SORTER,3,1,QAC39D,59
0.29763559512880017,0.5486156663219081,0.048382289731192664,SORTER,3,1,QAC39D,60
0.3179058544852844,-0.46070229060978807,0.06921399473928008,SORTER,3,1,QAC39D,61
1.2407457424461952,1.100931996807697,0.19469047343695933,SORTER,3,1,QAC39D,62
0.32977783409666017,0.986185536144269,0.04826071564560418,SORTER,3,1,QAC39D,63
-0.17626968485431874,0.5364973837942328,0.01535470692815584,SORTER,3,1,QAC39D,64
0.1952949762745346,0.6967388662497978,0.15607972193324104,SORTER,3,1,QAC39D,65
0.8388011708255123,0.6735764925330742,0.1049418946476361,SORTER,3,1,QAC39D,66
0.7479492742166106,2.554862888682946,0.1440191538894727,SORTER,3,1,QAC39D,67
-0.16165422223026726,1.208321417793218,-0.0168231967984035,SORTER,3,1,QAC39D,68
0.3321156573522986,1.4879073894559334,-0.003898285166195396,SORTER,3,1,QAC39D,69
0.7346525278915134,1.2643235673631756,0.051535121700462136,SORTER,3,1,QAC39D,70
3.7573527525490484,0.20166199129808285,0.06137667885674489,SORTER,3,1,QAC39D,71
0.5377470208546394,0.6143052478657086,-0.010566761707551928,SORTER,3,1,QAC39D,72
1.265336067577853,-0.003910463036737916,-0.044529077209705815,SORTER,3,1,QAC39D,73
-0.5587596039073032,-0.19142546202986427,0.007265194934388769,SORTER,3,1,QAC39D,74
0.3189030569402106,0.684770126520819,0.11610674960101641,FLAPPY,2,1,QAC39D,75
-0.49079388718882655,-0.8696232550658284,-0.20629458509510237,FLAPPY,2,1,QAC39D,76
0.009472169775177723,-1.0337811037289217,-0.279850703405131,FLAPPY,2,1,QAC39D,77
-0.9430976672418455,-1.1466941879297894,-0.16698897917752348,FLAPPY,2,1,QAC39D,78
-0.267854258451624,-0.900351924182235,-0.25966832766611425,FLAPPY,2,1,QAC39D,79
-1.1193110906049084,-0.7938466985866844,-0.24014589156526464,FLAPPY,2,1,QAC39D,80
-1.5015668710436565,-1.2587915951101212,-0.29424556794206935,FLAPPY,2,1,QAC39D,81
-1.2596221539442867,-0.7589874781615044,-0.26667193700086295,FLAPPY,2,1,QAC39D,82
-1.1153437311915695,-0.9182655519103199,-0.28035414606229775,FLAPPY,2,1,QAC39D,83
-0.9686411540191656,-1.3800968677953152,-0.30153239528055553,FLAPPY,2,1,QAC39D,84
-1.4831305576788179,-1.052043346048485,-0.27134052752273347,FLAPPY,2,1,QAC39D,85
3.5879211804078204,2.3400557733729745,0.05154682502829296,FLAPPY,2,1,QAC39D,86
-1.6263021821091546,-0.754211760632085,-0.20140831336833953,FLAPPY,2,1,QAC39D,87
-1.135874350708456,-0.9837866782606504,-0.13752772232487856,FLAPPY,2,1,QAC39D,88
-1.4244827898105292,-0.9529657869098158,-0.06109781520754416,FLAPPY,2,1,QAC39D,89
