game,difficulty,session,id,timestep,band,T7,O1,C1,Fp1,O2,C2,Fp2,T8
FLAPPY,3,1,PizzaSlice,24,alpha,-0.8916264982351795,0.8148975345132552,-0.6540847397256483,-1.089565185667128,-0.3466515937781653,-0.534199588505788,-0.2863313849421943,-0.8966020087380265
FLAPPY,3,1,PizzaSlice,25,alpha,-0.09537236639267394,-0.42131868733911104,-0.4952241111609178,-0.3026221991855917,-0.578984291028933,-0.3624055283524168,0.10557285535511934,-0.5766008929912767
FLAPPY,3,1,PizzaSlice,26,alpha,-1.0055073593199553,-0.4080850574301715,-0.422949291181575,-0.6692609296312448,-0.7542398572746433,-0.17847777531056666,-0.12897525375686872,0.12117412590888368
FLAPPY,3,1,PizzaSlice,27,alpha,-1.0641901871371373,0.15295234097320268,-1.3019033479082294,-1.2676382656937795,-0.1889245456956684,-1.1581081130607696,-1.0559288063840604,-0.14413719216748017
FLAPPY,3,1,PizzaSlice,28,alpha,-1.3499727290136485,-0.9724585258934125,-1.2608485394757756,-1.1937802643521374,-0.874683428781431,-1.0254937863855427,-0.8620178050425791,-0.43372811001718303
FLAPPY,3,1,PizzaSlice,29,alpha,-0.15658290772675593,0.6329704853469579,0.431163450752373,0.2176624575121208,-0.3853441487600018,0.6334114886925383,0.3266156424597686,0.6527706617786361
FLAPPY,3,1,PizzaSlice,30,alpha,-1.45585985995915,-0.5217927683063445,-1.138723670310957,-1.3560176414224219,-0.8719263647831785,-1.2907128896802755,-1.1556025868572462,-1.0112963746991928
FLAPPY,3,1,PizzaSlice,31,alpha,-1.2593750345461667,-0.2575956582770896,-0.6960084449431823,-0.9881399579261061,-0.2250230412593981,-0.7055262191110206,-0.6627776339189514,-1.1375562297253157
FLAPPY,3,1,PizzaSlice,32,alpha,-1.27138683152528,-1.2526916308465548,-0.9439255499165606,-0.9604667853095847,-1.034777764355489,-0.6928102398834669,-1.0827518075095013,-0.9747145674987471
FLAPPY,3,1,PizzaSlice,33,alpha,-1.0708950194303222,-1.1490048282205905,-0.5858166001822932,-0.822330848081153,-1.3822620523787665,-0.24224281720802482,-0.5652866105764092,-1.2394594961238652
FLAPPY,3,1,PizzaSlice,34,alpha,-1.3119929065044666,-0.8114551025478304,-0.7008384394213301,-1.0162895869984976,-0.6292072549363934,-0.5687934934904159,-0.510023900522673,-0.8303275498452145
FLAPPY,3,1,PizzaSlice,35,alpha,-1.0023383465874742,-0.8587802276877502,-0.6201673491236475,-0.6724432648339549,-0.7195699190008711,-0.5088818179759866,-0.8234610755093102,-0.9753142898742172
FLAPPY,3,1,PizzaSlice,36,alpha,-0.9318134991766174,-0.47675581031831343,-0.04270749978953911,-0.25830512531510613,-0.9273709817267931,-0.22416539078694775,-0.7166137473457179,-0.6899717641335427
FLAPPY,3,1,PizzaSlice,37,alpha,-0.7934907408268671,-0.8243995239713627,1.065880946138082,0.2438538813148812,-0.5858818997960193,2.00620451789151,1.5369338190507398,0.04858788998049891
FLAPPY,3,1,PizzaSlice,38,alpha,2.1221173062801273,-0.48042645124081834,-0.05665111085767921,0.86266297141412,-0.9734526005857728,-0.7933696674139689,0.10252075844113115,-0.6287650365444659
FLAPPY,3,1,PizzaSlice,39,alpha,2.6856970175400274,0.36119482224820365,-0.18422615027106645,0.9404183823780646,-0.6974469581668462,-0.5974725497996324,0.42286863451211637,-0.5719246937406288
FLAPPY,3,1,PizzaSlice,40,alpha,0.2366031883661049,0.3364283674142299,-0.1865717640271456,-0.431658739950687,-0.25454874262040333,0.28205831696843936,-0.6165216008806161,0.24571972545957
FLAPPY,3,1,PizzaSlice,41,alpha,0.03472348107856965,0.692568971424186,-0.2545662788077628,-0.5609246459414755,0.08073937645893549,0.8149663905496958,0.3042437615887089,0.5747647057904994
FLAPPY,3,1,PizzaSlice,42,alpha,0.7623024379536785,0.6137226094130462,0.44507502417020645,0.16233522407589693,0.4276980720170713,0.3305165705177756,0.12358099894198403,0.42982211979229934
FLAPPY,3,1,PizzaSlice,43,alpha,1.0234631953574787,0.07640386260488091,-0.35373031053999593,0.10482518676834714,-0.1043024075818906,-0.44237364059620915,0.07306098302262495,-0.7547518718901157
FLAPPY,3,1,PizzaSlice,44,alpha,0.3030825638854087,0.45093130101688317,0.3239866798623534,0.15764499221092884,-0.3240901201741576,-0.054192049748603234,-0.36666892282519664,-0.010031809755355359
FLAPPY,3,1,PizzaSlice,45,alpha,1.6222777690052388,0.5029409629808459,1.0813914791414547,1.0301709817604126,-0.043990733304865824,0.9388354891808381,0.45304917107557485,0.5412548617863108
FLAPPY,3,1,PizzaSlice,46,alpha,0.2020918056539872,-0.38467245309824893,-0.1728762412381241,-0.24489347610190892,-0.5695565150489197,0.03557105811913573,0.40632420432404653,-0.3087168795115769
FLAPPY,3,1,PizzaSlice,47,alpha,-0.2880119792483395,-1.0521496036415083,-0.5045494867488387,-0.653926785680092,-0.7986922167340363,-0.181730434539315,-0.2092122860226506,-0.6413523740192661
FLAPPY,3,1,PizzaSlice,48,alpha,0.38466615705402823,0.3252435721352161,-0.5805943359311576,0.11601732792751521,0.0639198012561767,-0.692212947364779,-0.8114401653639882,-0.38691099196285345
FLAPPY,3,1,PizzaSlice,49,alpha,1.3868799385252542,1.4520228888490716,-0.07326982301635358,-0.17726882088179094,-0.142166564644874,0.7051113287607322,0.6509974887014961,-0.16979603645170796
FLAPPY,3,1,PizzaSlice,50,alpha,0.2976075241304005,0.43087440842265873,0.1441164814921678,-0.18972093532969675,0.6167648372411854,1.0065816730731363,0.4199734419900047,0.5086740635128942
FLAPPY,3,1,PizzaSlice,51,alpha,0.30066862995771276,0.7159338484319037,-0.2673523811192342,-0.056191257063604526,0.01810442347606909,-1.0799569113046987,-0.8544302099178323,-1.0569903999943038
FLAPPY,3,1,PizzaSlice,52,alpha,-0.5686057472864582,-0.9079864690444316,-0.3639665445009623,-0.7597379707830944,-0.7209958884974902,-0.17242376397257314,-0.3686010003802462,-1.1949662657100963
FLAPPY,3,1,PizzaSlice,53,alpha,-0.45562573218678704,-0.9501800300012022,-0.46524604242029355,-0.42766247084001013,-1.1632506689636026,-0.501581165503562,-0.9303113468052946,-0.9288531153638852
FLAPPY,3,1,PizzaSlice,54,alpha,0.5423574231431317,-0.1251077622867434,-0.1600237441278327,0.1961023621669907,-0.5491423695775548,-0.4103373600812763,0.04989285941123461,-0.6764171779447155
